incident_id,paper_category_type,paper_category,project_category,agreement,notes
20,ethics_issue,Gender discrimination,Physical safety,Disagree,"Current snapshot title: A Collection of Tesla Autopilot-Involved Crashes. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
36,ethics_issue,Gender discrimination,Inappropriate use (bad performance); Privacy,Disagree,"Current snapshot title: Picture of Woman on Side of Bus Shamed for Jaywalking. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
45,ethics_issue,Gender discrimination,Inappropriate use (bad performance),Disagree,"Current snapshot title: Defamation via AutoComplete. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
30,ethics_issue,Inappropriate use (bad performance),Inappropriate use (bad performance),Agree,Current snapshot title: Poor Performance of Tesla Factory Robots. Manual directed coding matched the paper-named category on this checked incident.
63,ethics_issue,Inappropriate use (bad performance),Inappropriate use (bad performance),Agree,Current snapshot title: Google Photo Merge Decapitates Subject. Manual directed coding matched the paper-named category on this checked incident.
103,ethics_issue,Inappropriate use (bad performance),Racial discrimination; Gender discrimination,Disagree,"Current snapshot title: Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
92,ethics_issue,Mental health,Gender discrimination; Unfair algorithm (evaluation),Disagree,"Current snapshot title: Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
127,ethics_issue,Mental health,Racial discrimination; Inappropriate use (bad performance),Disagree,"Current snapshot title: Microsoft’s Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
5,ethics_issue,Physical safety,Physical safety; Inappropriate use (bad performance),Agree,Current snapshot title: Collection of Robotic Surgery Malfunctions. Manual directed coding matched the paper-named category on this checked incident.
27,ethics_issue,Physical safety,,Missing from snapshot,"Incident ID was not present in the current cleaned public snapshot, so this paper anchor could not be checked."
90,ethics_issue,Physical safety,,Missing from snapshot,"Incident ID was not present in the current cleaned public snapshot, so this paper anchor could not be checked."
122,ethics_issue,Physical safety,Privacy,Disagree,"Current snapshot title: Facebook’s ""Tag Suggestions"" Allegedly Stored Biometric Data without User Consent. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
142,ethics_issue,Physical safety,Inappropriate use (bad performance),Disagree,"Current snapshot title: Facebook's Advertisement Moderation System Allegedly Routinely Misidentified Adaptive Fashion Products as Medical Equipment and Blocked Their Sellers. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
110,ethics_issue,Privacy,Unfair algorithm (evaluation); Inappropriate use (bad performance),Disagree,"Current snapshot title: Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
70,ethics_issue,Racial discrimination,Inappropriate use (bad performance),Disagree,"Current snapshot title: Self-driving cars in winter. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
115,ethics_issue,Racial discrimination,Gender discrimination; Inappropriate use (bad performance),Disagree,"Current snapshot title: Genderify’s AI to Predict a Person’s Gender Revealed by Free API Users to Exhibit Bias. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
133,ethics_issue,Racial discrimination,Racial discrimination; Gender discrimination,Agree,Current snapshot title: Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalized Creators. Manual directed coding matched the paper-named category on this checked incident.
134,ethics_issue,Racial discrimination,Physical safety; Inappropriate use (bad performance),Disagree,"Current snapshot title: Robot in Chinese Shopping Mall Fell off the Escalator, Knocking down Passengers. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
139,ethics_issue,Racial discrimination,Inappropriate use (bad performance),Disagree,"Current snapshot title: Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
38,ethics_issue,Unethical use (illegal use),Inappropriate use (bad performance),Disagree,"Current snapshot title: Game AI System Produces Imbalanced Game. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
48,ethics_issue,Unethical use (illegal use),Racial discrimination; Inappropriate use (bad performance),Disagree,"Current snapshot title: Passport checker Detects Asian man's Eyes as Closed. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
12,ethics_issue,Unfair algorithm (evaluation),Gender discrimination,Disagree,"Current snapshot title: Common Biases of Vector Embeddings. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
39,ethics_issue,Unfair algorithm (evaluation),Unethical use (illegal use),Disagree,"Current snapshot title: Deepfake Obama Introduction of Deepfakes. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
