incident_id,source_field,source_value,mapped_ethics_issue,mapped_application_area,mapping_reason
235,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
235,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
235,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
11,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
11,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
40,text_for_classification,recidivism,,Predictive policing,Matched policing or criminal-justice terms.
40,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
306,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
306,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
368,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
368,text_for_classification,surveillance,Privacy,,"Matched privacy, surveillance, or data-protection terms."
38,text_for_classification,game ai,,AI game,Matched gaming-related AI terms.
38,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
316,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
316,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
346,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
346,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
50,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
50,text_for_classification,hack,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
20,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
20,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
52,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
52,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
51,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
51,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
21,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
21,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
12,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
12,text_for_classification,gender bias,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
37,text_for_classification,hiring,,AI recruitment,Matched hiring or candidate-screening terms.
37,text_for_classification,gender bias,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
376,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
376,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
49,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
49,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
47,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
47,text_for_classification,gender bias,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
478,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
478,text_for_classification,crash,Physical safety,,"Matched physical harm, collision, or fatality terms."
249,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
249,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
249,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
249,text_for_classification,surveillance,Privacy,,"Matched privacy, surveillance, or data-protection terms."
30,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
30,text_for_classification,poor performance,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
472,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
472,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
472,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
472,text_for_classification,surveillance,Privacy,,"Matched privacy, surveillance, or data-protection terms."
217,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
217,text_for_classification,injured,Physical safety,,"Matched physical harm, collision, or fatality terms."
48,text_for_classification,passport checker,,Identity authentication,Matched identity verification or biometric authentication terms.
48,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
330,text_for_classification,recommended,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
330,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
65,text_for_classification,openai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
65,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
55,text_for_classification,alexa,,Smart home,Matched home-assistant or smart-home terms.
55,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
437,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
437,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
109,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
109,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
894,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
894,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
190,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
190,text_for_classification,without consent,Privacy,,"Matched privacy, surveillance, or data-protection terms."
340,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
340,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
7,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
7,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
13,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
13,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
496,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
496,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
418,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
418,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
394,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
394,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
341,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
341,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
225,text_for_classification,hospital,,Smart healthcare,Matched healthcare or clinical terms.
225,text_for_classification,incorrect,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
502,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
502,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
502,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
59,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
59,text_for_classification,gender bias,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
408,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
408,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
60,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
60,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
518,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
518,text_for_classification,surveillance,Privacy,,"Matched privacy, surveillance, or data-protection terms."
61,text_for_classification,image classifier,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
61,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
96,text_for_classification,school district,,AI education,Matched education-related deployment terms.
96,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
428,text_for_classification,authentication,,Identity authentication,Matched identity verification or biometric authentication terms.
428,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
310,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
310,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
267,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
267,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
39,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
39,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
183,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
183,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
183,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
308,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
308,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
56,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
56,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
68,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
68,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1428,text_for_classification,gaming,,AI game,Matched gaming-related AI terms.
1428,text_for_classification,exploit,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
128,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
128,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
66,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
66,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
88,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
88,text_for_classification,anti-semitic,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
1057,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1057,text_for_classification,antisemitic,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
309,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
309,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
167,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
167,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
26,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
26,text_for_classification,bypass,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
32,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
32,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
531,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
531,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
531,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
329,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
329,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
325,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
325,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
370,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
370,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
216,text_for_classification,machine translation,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
216,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
58,text_for_classification,chatbot,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
58,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
72,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
72,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
14,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
14,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
14,text_for_classification,homophobic,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
307,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
307,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
23,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
23,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
33,text_for_classification,alexa,,Smart home,Matched home-assistant or smart-home terms.
33,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
261,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
261,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
382,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
382,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
382,text_for_classification,suicide,Mental health,,Matched mental-health or emotional-harm terms.
31,text_for_classification,driverless,,Autonomous driving,Matched autonomous-driving terms.
31,text_for_classification,failure,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
22,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
22,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
62,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
62,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
227,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
227,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
403,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
403,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
64,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
64,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
320,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
320,text_for_classification,fatal,Physical safety,,"Matched physical harm, collision, or fatality terms."
63,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
63,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
194,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
194,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
517,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
517,text_for_classification,surveillance,Privacy,,"Matched privacy, surveillance, or data-protection terms."
4,text_for_classification,autonomous vehicle,,Autonomous driving,Matched autonomous-driving terms.
4,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
321,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
321,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
41,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
41,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
188,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
188,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
184,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
184,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
769,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
769,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
769,text_for_classification,emotional distress,Mental health,,Matched mental-health or emotional-harm terms.
229,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
229,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
232,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
232,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
284,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
284,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
556,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
556,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
361,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
361,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
294,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
294,text_for_classification,injury,Physical safety,,"Matched physical harm, collision, or fatality terms."
323,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
323,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
358,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
