paper_incident_number,paper_described_example,current_aiid_incident_id_checked,current_aiid_title,mapping_status,notes
36,Paper Incident 36 was cited in the paper's results discussion.,36,Picture of Woman on Side of Bus Shamed for Jaywalking,ID space mismatch likely,Paper Incident 36 was cited in the paper's results discussion. Current AIID incident ID 36 is 'Picture of Woman on Side of Bus Shamed for Jaywalking'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Gender discrimination.
38,Paper Incident 38 was cited in the paper's results discussion.,38,Game AI System Produces Imbalanced Game,ID space mismatch likely,Paper Incident 38 was cited in the paper's results discussion. Current AIID incident ID 38 is 'Game AI System Produces Imbalanced Game'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Unethical use (illegal use).
39,Paper Incident 39 was cited in the paper's results discussion.,39,Deepfake Obama Introduction of Deepfakes,ID space mismatch likely,Paper Incident 39 was cited in the paper's results discussion. Current AIID incident ID 39 is 'Deepfake Obama Introduction of Deepfakes'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Unfair algorithm (evaluation).
45,Paper Incident 45 was cited in the paper's results discussion.,45,Defamation via AutoComplete,ID space mismatch likely,Paper Incident 45 was cited in the paper's results discussion. Current AIID incident ID 45 is 'Defamation via AutoComplete'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Gender discrimination.
46,Paper Incident 46 is described as a New Zealand passport checker example.,46,Nest Smoke Alarm Erroneously Stops Alarming,Does not map cleanly,"Paper Incident 46 is described as a New Zealand passport checker example. Current AIID incident ID 46 is 'Nest Smoke Alarm Erroneously Stops Alarming', so the paper's numbering does not line up with the current public ID space."
48,Paper Incident 48 was cited in the paper's results discussion.,48,Passport checker Detects Asian man's Eyes as Closed,ID space mismatch likely,Paper Incident 48 was cited in the paper's results discussion. Current AIID incident ID 48 is 'Passport checker Detects Asian man's Eyes as Closed'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Unethical use (illegal use).
56,Paper Incident 56 was cited in the paper's results discussion.,56,AI-Designed Phone Cases Are Unexpected,ID space mismatch likely,Paper Incident 56 was cited in the paper's results discussion. Current AIID incident ID 56 is 'AI-Designed Phone Cases Are Unexpected'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent service robots.
63,Paper Incident 63 is cited as an intelligent service robots example.,63,Google Photo Merge Decapitates Subject,ID space mismatch likely,Paper Incident 63 is cited as an intelligent service robots example. Current AIID incident ID 63 is 'Google Photo Merge Decapitates Subject'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent service robots; ethics_issue: Inappropriate use (bad performance).
64,Paper Incident 64 is cited as an intelligent service robots example.,64,Customer Service Robot Scares Away Customers,ID space mismatch likely,Paper Incident 64 is cited as an intelligent service robots example. Current AIID incident ID 64 is 'Customer Service Robot Scares Away Customers'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent service robots.
66,Paper Incident 66 was cited in the paper's results discussion.,66,Chinese Chatbots Question Communist Party,ID space mismatch likely,Paper Incident 66 was cited in the paper's results discussion. Current AIID incident ID 66 is 'Chinese Chatbots Question Communist Party'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Autonomous driving.
70,Paper Incident 70 is discussed in the paper's authentication-process examples.,70,Self-driving cars in winter,ID space mismatch likely,Paper Incident 70 is discussed in the paper's authentication-process examples. Current AIID incident ID 70 is 'Self-driving cars in winter'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Identity authentication; ethics_issue: Racial discrimination.
90,Paper Incident 90 was cited in the paper's results discussion.,90,,Unable to verify,The paper's incident number could not be checked against the current cleaned snapshot because no matching AIID incident ID was present.
91,Paper Incident 91 is cited as an AI supervision example.,91,Frontline workers protest at Stanford after hospital distributed vaccine to administrators,ID space mismatch likely,Paper Incident 91 is cited as an AI supervision example. Current AIID incident ID 91 is 'Frontline workers protest at Stanford after hospital distributed vaccine to administrators'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: AI supervision.
92,Paper Incident 92 was cited in the paper's results discussion.,92,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women,ID space mismatch likely,Paper Incident 92 was cited in the paper's results discussion. Current AIID incident ID 92 is 'Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Mental health.
103,Paper Incident 103 was cited in the paper's results discussion.,103,Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias,ID space mismatch likely,Paper Incident 103 was cited in the paper's results discussion. Current AIID incident ID 103 is 'Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Inappropriate use (bad performance).
110,Paper Incident 110 was cited in the paper's results discussion.,110,Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries,ID space mismatch likely,Paper Incident 110 was cited in the paper's results discussion. Current AIID incident ID 110 is 'Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Privacy.
114,Paper Incident 114 is cited as an intelligent service robots example.,114,Amazon's Rekognition Falsely Matched Members of Congress to Mugshots,ID space mismatch likely,Paper Incident 114 is cited as an intelligent service robots example. Current AIID incident ID 114 is 'Amazon's Rekognition Falsely Matched Members of Congress to Mugshots'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent service robots.
115,Paper Incident 115 was cited in the paper's results discussion.,115,Genderify’s AI to Predict a Person’s Gender Revealed by Free API Users to Exhibit Bias,ID space mismatch likely,Paper Incident 115 was cited in the paper's results discussion. Current AIID incident ID 115 is 'Genderify’s AI to Predict a Person’s Gender Revealed by Free API Users to Exhibit Bias'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Racial discrimination.
122,Paper Incident 122 was cited in the paper's results discussion.,122,"Facebook’s ""Tag Suggestions"" Allegedly Stored Biometric Data without User Consent",ID space mismatch likely,"Paper Incident 122 was cited in the paper's results discussion. Current AIID incident ID 122 is 'Facebook’s ""Tag Suggestions"" Allegedly Stored Biometric Data without User Consent'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Physical safety."
123,Paper Incident 123 is cited as an AI supervision example.,123,Epic Systems’s Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients,ID space mismatch likely,Paper Incident 123 is cited as an AI supervision example. Current AIID incident ID 123 is 'Epic Systems’s Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: AI supervision.
127,Paper Incident 127 was cited in the paper's results discussion.,127,Microsoft’s Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story,ID space mismatch likely,Paper Incident 127 was cited in the paper's results discussion. Current AIID incident ID 127 is 'Microsoft’s Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Mental health.
131,Paper Incident 131 is cited as an AI supervision example.,131,Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters,ID space mismatch likely,Paper Incident 131 is cited as an AI supervision example. Current AIID incident ID 131 is 'Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: AI supervision.
133,Paper Incident 133 is discussed in the paper's authentication-process examples.,133,Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalized Creators,ID space mismatch likely,Paper Incident 133 is discussed in the paper's authentication-process examples. Current AIID incident ID 133 is 'Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalized Creators'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Identity authentication; ethics_issue: Racial discrimination.
134,Paper Incident 134 is cited as a language/vision example.,134,"Robot in Chinese Shopping Mall Fell off the Escalator, Knocking down Passengers",ID space mismatch likely,"Paper Incident 134 is cited as a language/vision example. Current AIID incident ID 134 is 'Robot in Chinese Shopping Mall Fell off the Escalator, Knocking down Passengers'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Language/vision model; ethics_issue: Racial discrimination."
138,Paper Incident 138 is discussed in the paper's authentication-process examples.,138,University of Illinois' Proctorio Remote-Proctoring Deployment Reportedly Raised Student Rights Concerns,ID space mismatch likely,Paper Incident 138 is discussed in the paper's authentication-process examples. Current AIID incident ID 138 is 'University of Illinois' Proctorio Remote-Proctoring Deployment Reportedly Raised Student Rights Concerns'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Identity authentication.
139,Paper Incident 139 was cited in the paper's results discussion.,139,Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation,ID space mismatch likely,Paper Incident 139 was cited in the paper's results discussion. Current AIID incident ID 139 is 'Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Racial discrimination.
141,Paper Incident 141 was cited in the paper's results discussion.,141,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed,ID space mismatch likely,Paper Incident 141 was cited in the paper's results discussion. Current AIID incident ID 141 is 'California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent service robots.
142,Paper Incident 142 was cited in the paper's results discussion.,142,Facebook's Advertisement Moderation System Allegedly Routinely Misidentified Adaptive Fashion Products as Medical Equipment and Blocked Their Sellers,ID space mismatch likely,Paper Incident 142 was cited in the paper's results discussion. Current AIID incident ID 142 is 'Facebook's Advertisement Moderation System Allegedly Routinely Misidentified Adaptive Fashion Products as Medical Equipment and Blocked Their Sellers'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Physical safety.
